,"(LL, LS, II, SS,FF)","(M, F)",Aggression,,,,Courting - male behaviors,,,,,,Courting - received by females,,,,,,,,
name,cg tank condition,focal sex,male chased another male,male chased by another male,total male-male chases,female chased by male,male displays to female,parallel swims with female,dorsal fin extension to female,sigmoid/gonopodial swing to female,body contact with female,total male courting ,displays received by female,parallel swims with male,dorsal fin extension received by female,sigmoid/gonopodial swing received by female,body contact received by female,total courting received by female,male foraging,female foraging,female chased by female
Ramsey,LL,M,x,x,#VALUE!,,x,x,x,x,x,#VALUE!,,,,,,0,x,,
Ramsey,LL,F,,,0,x,,,,,,0,x,x,x,x,x,#VALUE!,,x,
English,LS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,
English,LS,M,14,1,15,0,2,0,1,0,1,4,0,0,0,0,0,0,7,0,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
Fernandez,LL,M,6,0,6,9,10,2,7,0,0,19,0,0,0,0,0,0,3,0,
Fernandez,LL,F,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,6,0,14,
Fernandez,LS,M,7,2,9,7,8,2,4,0,1,15,0,0,0,0,0,0,4,0,
Fernamdez,LS,F,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,6,0,7,
Fernandez,II,M,2,1,3,3,9,3,5,1,0,18,0,0,0,0,0,0,3,0,
Fernandez,II,F,0,0,0,1,0,0,0,0,0,0,6,3,0,0,0,9,0,10,
Fernandez,SS,M,6,0,6,9,8,0,0,1,2,11,0,0,0,0,0,0,2,0,
Fernandez,SS,F,0,0,0,3,0,0,0,0,0,0,4,1,0,0,0,5,0,9,
Fernandez,FF,F,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
Martinez,LL,M,7,0,7,5,23,3,13,0,1,40,0,0,0,0,0,0,0,0,
Martinez,LL,F,0,0,0,0,0,0,0,0,0,0,22,6,12,0,0,40,0,23,
Martinez,LS,M,17,1,18,3,6,1,3,0,2,12,0,0,0,0,0,0,3,0,
Martinez,LS,F,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,8,0,20,
Martinez,II,M,4,2,6,5,7,4,3,2,0,16,0,0,0,0,0,0,2,0,
Martinez,II,F,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,7,0,,
Martinez,SS,M,9,1,10,2,1,3,1,0,0,5,0,0,0,0,0,0,7,0,
Martinez,SS,F,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,8,0,6,
Martinez,FF,F,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,28,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
Pineau,LL,M,5,0,5,1,5,3,3,0,2,13,0,0,0,0,0,0,1,0,
Pineau,LL,F,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,5,0,5,
Pineau,LS,M,12,0,12,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,
Pineau,LS,F,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,
Pineau,II,M,1,0,1,0,6,3,3,0,0,12,0,0,0,0,0,0,1,0,
Pineau,II,F,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,5,
Pineau,FF,F,8,0,8,0,0,0,0,0,3,3,0,0,0,0,0,0,0,11,
Pineau,SS,M,7,0,7,1,0,1,0,0,0,1,0,0,0,0,0,0,7,0,
Pineau,SS,F,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,6,0,8,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
Perez,LS,M,6,4,10,5,4,0,0,0,0,4,,,,,,0,,,
Perez,LS,F,0,0,0,,,,,,,0,,,,,,0,,,
Perez,LL,M,,,0,,,,,,,0,,,,,,0,,,
Perez,LL,F,,,0,,,,,,,0,,,,,,0,,,
Perez,SS,M,,,0,,,,,,,0,,,,,,0,,,
Perez,SS,F,,,0,,,,,,,0,,,,,,0,,,
Perez,II,M,,,0,,,,,,,0,,,,,,0,,,
Perez,II,F,,,0,,,,,,,0,,,,,,0,,,
Perez,FF,F,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,
Shah,SS,M,9,3,12,2,0,1,0,0,1,2,,,,,,0,0,,
Shah,SS,F,,,0,,,,,,,0,0,1,1,0,0,2,,4,
Shah,LL,M,3,2,5,4,0,1,0,0,3,4,,,,,,0,1,,
Shah,LL,F,,,0,,,,,,,0,0,2,0,0,1,3,,5,
Shah,II,M,1,1,2,0,0,0,0,0,1,1,,,,,,0,0,,
Shah,II,F,,,0,,,,,,,0,2,2,,,4,8,,9,
Shah,LS,M,2,1,3,3,1,0,0,0,1,2,,,,,,0,1,,
Shah,LS,F,,,0,,,,,,,0,0,0,0,0,2,2,,3,
Shah,FF,F,,,0,,,,,,,0,,,,,,0,,5,3
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
Chon,LS,M,10,1,11,2,0,0,0,0,0,0,,,,,,0,1,,
Chon,LS,F,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,
Chon,LL,M,3,0,3,5,2,5,0,3,2,12,,,,,,0,1,,
Chon,LL,F,,,0,8,0,0,0,0,0,0,0,1,0,0,0,1,,13,
Chon,SS,M,8,0,8,2,0,1,0,0,0,1,,,,,,0,7,,
Chon,SS,F,,,0,3,0,0,0,0,0,0,4,1,0,0,0,5,,8,
Chon,II,M,1,0,1,3,5,2,3,0,0,10,,,,,,0,2,,
Chon,II,F,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,,8,
Chon,FF,F,,,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,11,
,,,,,0,,,,,,,0,,,,,,0,,,
Deaton,LL,M,9,0,9,1,0,1,1,0,0,2,,,,,,0,3,,
Deaton,LL,F,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,
Deaton,LS,M,2,0,2,6,1,2,0,0,0,3,,,,,,0,1,,
Deaton,LS,F,,,0,3,0,0,0,0,0,0,0,3,0,0,0,3,,16,
Deaton,SS,M,2,0,2,7,0,1,0,0,2,3,,,,,,0,0,,
Deaton,SS,F,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,
Deaton,II,M,1,0,1,0,0,0,0,0,0,0,,,,,,0,0,,
Deaton,II,F,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,2,
Deaton,FF,F,,,0,4,0,0,0,0,0,0,,,,,,0,,10,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
,,,,,0,,,,,,,0,,,,,,0,,,
Nguyen,LL,M,5,0,5,4,2,2,0,0,0,8,0,0,0,0,0,0,0,0,
Nguyen,LL,F,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,2,
Nguyen,LS,M,7,0,7,9,2,2,0,0,0,13,0,0,0,0,0,0,0,0,
Nguyen,LS,F,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,
Nguyen,SS,M,0,0,0,9,0,1,0,0,0,10,0,0,0,0,0,0,2,0,
